MD_EARN_WNE_P10,STUFACR,STUFACR,C150_4,ADM_RATE,MD_EARN_WNE_P10
65222.0,10.0,10.0,0.8609,0.163,65222.0
42456.0,22.0,22.0,0.7173,0.9934,42456.0
44127.0,13.0,13.0,0.2693,,44127.0
43526.0,15.0,15.0,,,43526.0
97335.0,17.0,17.0,0.8181,0.58,97335.0
51591.0,10.0,10.0,,0.7778,51591.0
60543.0,17.0,17.0,0.6662,0.9077,60543.0
37180.0,31.0,31.0,0.1962,,37180.0
44592.0,13.0,13.0,,,44592.0
45516.0,7.0,7.0,,,45516.0
39095.0,20.0,20.0,0.1814,,39095.0
46396.0,27.0,27.0,,,46396.0
,,,,,
71155.0,8.0,8.0,0.7745,0.7768,71155.0
35487.0,11.0,11.0,,,35487.0
46349.0,15.0,15.0,0.3877,0.9098,46349.0
45910.0,21.0,21.0,0.2712,,45910.0
,,,,,
22332.0,14.0,14.0,,,22332.0
38719.0,18.0,18.0,,,38719.0
45823.0,18.0,18.0,0.3915,0.8176,45823.0
52093.0,16.0,16.0,0.2898,0.9791,52093.0
39429.0,14.0,14.0,0.3579,,39429.0
28720.0,9.0,9.0,0.3103,1.0,28720.0
41450.0,6.0,6.0,0.6667,,41450.0
39893.0,18.0,18.0,,,39893.0
52231.0,14.0,14.0,0.5191,0.7854,52231.0
39018.0,16.0,16.0,,,39018.0
40796.0,21.0,21.0,0.2293,,40796.0
37434.0,19.0,19.0,0.2328,,37434.0
46288.0,22.0,22.0,0.3871,,46288.0
72105.0,9.0,9.0,0.668,0.7609,72105.0
42958.0,14.0,14.0,0.4091,,42958.0
44643.0,15.0,15.0,0.8333,1.0,44643.0
55563.0,15.0,15.0,0.3505,0.9879,55563.0
39210.0,20.0,20.0,,,39210.0
42169.0,22.0,22.0,,,42169.0
31541.0,22.0,22.0,,,31541.0
36475.0,18.0,18.0,0.5044,,36475.0
,7.0,7.0,0.9991,0.1623,
24397.0,13.0,13.0,,,24397.0
46833.0,16.0,16.0,0.4698,0.9185,46833.0
60144.0,15.0,15.0,0.4961,0.805,60144.0
